,102,104,5300,106,108,304,5302,110,306,308,5304,112,310,312,5306,114,314,316,5308,116,318,320,5310,118,322,324,5312,120,326,328,5314,122,330,332,5316,124,334,336,5318,126,338,340,5320,128,342,344,5322,130,346,348,5324,132,350,352,5326,134,354,356,5328,136,358,360,5330,138,362,300,100,302
,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gmrad,4:06,4:28,,4:50,5:12,,,6:06,,,,7:18,,,,8:30,,,,9:42,,,,10:54,,,,12:06,,,,13:18,,,,14:30,,,,15:42,,,,16:54,,,,18:06,,,,19:18,,,,20:30,,,,21:42,,,,22:54,,,24:08,
gmjor,4:09,4:31,,4:53,5:15,,,6:09,,,,7:21,,,,8:33,,,,9:45,,,,10:57,,,,12:09,,,,13:21,,,,14:33,,,,15:45,,,,16:57,,,,18:09,,,,19:21,,,,20:33,,,,21:45,,,,22:57,,,0:11,
gmpia,4:11,4:33,,4:55,5:17,,,6:11,,,,7:23,,,,8:35,,,,9:47,,,,10:59,,,,12:11,,,,13:23,,,,14:35,,,,15:47,,,,16:59,,,,18:11,,,,19:23,,,,20:35,,,,21:47,,,,22:59,,,0:13,
gmokr,4:13,4:35,,4:57,5:19,,,6:13,,,,7:25,,,,8:37,,,,9:49,,,,11:01,,,,12:13,,,,13:25,,,,14:37,,,,15:49,,,,17:01,,,,18:13,,,,19:25,,,,20:37,,,,21:49,,,,23:01,,,0:15,
brzoz,4:15,4:37,,4:59,5:21,,,6:15,,,,7:27,,,,8:39,,,,9:51,,,,11:03,,,,12:15,,,,13:27,,,,14:39,,,,15:51,,,,17:03,,,,18:15,,,,19:27,,,,20:39,,,,21:51,,,,23:03,,,0:17,
kazim,4:18,4:40,,5:02,5:24,,,6:18,,,,7:30,,,,8:42,,,,9:54,,,,11:06,,,,12:18,,,,13:30,,,,14:42,,,,15:54,,,,17:06,,,,18:18,,,,19:30,,,,20:42,,,,21:54,,,,23:06,,,0:20,
milgr,,,4:55,,,,5:48,,,,7:00,,,,8:12,,,,9:24,,,,10:36,,,,11:48,,,,13:00,,,,14:12,,,,15:24,,,,16:36,,,,17:48,,,,19:00,,,,20:12,,,,21:24,,,,22:36,,,,,
poles,,,4:57,,,,5:50,,,,7:02,,,,8:14,,,,9:26,,,,10:38,,,,11:50,,,,13:02,,,,14:14,,,,15:26,,,,16:38,,,,17:50,,,,19:02,,,,20:14,,,,21:26,,,,22:38,,,,,
plzac,4:21,4:43,,5:05,5:27,,,6:21,,,,7:33,,,,8:45,,,,9:57,,,,11:09,,,,12:21,,,,13:33,,,,14:45,,,,15:57,,,,17:09,,,,18:21,,,,19:33,,,,20:45,,,,21:57,,,,23:09,,,0:23,
plglo,4:27,4:49,5:02,5:11,5:33,,5:55,6:27,,,7:07,7:39,,,8:19,8:51,,,9:31,10:03,,,10:43,11:15,,,11:55,12:27,,,13:07,13:39,,,14:19,14:51,,,15:31,16:03,,,16:43,17:15,,,17:55,18:27,,,19:07,19:39,,,20:19,20:51,,,21:31,22:03,,,22:43,23:15,,,0:29,
,4:27,4:51,,5:15,5:39,6:03,,6:27,6:51,7:15,,7:39,8:03,8:27,,8:51,9:15,9:39,,10:03,10:27,10:51,,11:15,11:39,12:03,,12:27,12:51,13:15,,13:39,14:03,14:27,,14:51,15:15,15:39,,16:03,16:27,16:51,,17:15,17:39,18:03,,18:27,18:51,19:15,,19:39,20:03,20:27,,20:51,21:15,21:39,,22:03,22:27,22:51,,23:15,23:39,24:03,0:29,24:53
plwsc,4:29,4:53,,5:17,5:41,6:05,,6:29,6:53,7:17,,7:41,8:05,8:29,,8:53,9:17,9:41,,10:05,10:29,10:53,,11:17,11:41,12:05,,12:29,12:53,13:17,,13:41,14:05,14:29,,14:53,15:17,15:41,,16:05,16:29,16:53,,17:17,17:41,18:05,,18:29,18:53,19:17,,19:41,20:05,20:29,,20:53,21:17,21:41,,22:05,22:29,22:53,,23:17,23:41,0:05,0:31,0:55
otreb,4:31,4:55,,5:19,5:43,6:07,,6:31,6:55,7:19,,7:43,8:07,8:31,,8:55,9:19,9:43,,10:07,10:31,10:55,,11:19,11:43,12:07,,12:31,12:55,13:19,,13:43,14:07,14:31,,14:55,15:19,15:43,,16:07,16:31,16:55,,17:19,17:43,18:07,,18:31,18:55,19:19,,19:43,20:07,20:31,,20:55,21:19,21:43,,22:07,22:31,22:55,,23:19,23:43,0:07,0:33,0:57
kanie,4:33,4:57,,5:21,5:45,6:09,,6:33,6:57,7:21,,7:45,8:09,8:33,,8:57,9:21,9:45,,10:09,10:33,10:57,,11:21,11:45,12:09,,12:33,12:57,13:21,,13:45,14:09,14:33,,14:57,15:21,15:45,,16:09,16:33,16:57,,17:21,17:45,18:09,,18:33,18:57,19:21,,19:45,20:09,20:33,,20:57,21:21,21:45,,22:09,22:33,22:57,,23:21,23:45,0:09,0:35,0:59
nwwar,4:35,4:59,,5:23,5:47,6:11,,6:35,6:59,7:23,,7:47,8:11,8:35,,8:59,9:23,9:47,,10:11,10:35,10:59,,11:23,11:47,12:11,,12:35,12:59,13:23,,13:47,14:11,14:35,,14:59,15:23,15:47,,16:11,16:35,16:59,,17:23,17:47,18:11,,18:35,18:59,19:23,,19:47,20:11,20:35,,20:59,21:23,21:47,,22:11,22:35,22:59,,23:23,23:47,0:11,0:37,1:01
komor,4:38,5:02,,5:26,5:50,6:14,,6:38,7:02,7:26,,7:50,8:14,8:38,,9:02,9:26,9:50,,10:14,10:38,11:02,,11:26,11:50,12:14,,12:38,13:02,13:26,,13:50,14:14,14:38,,15:02,15:26,15:50,,16:14,16:38,17:02,,17:26,17:50,18:14,,18:38,19:02,19:26,,19:50,20:14,20:38,,21:02,21:26,21:50,,22:14,22:38,23:02,,23:26,23:50,0:14,0:40,1:04
,4:39,5:03,,5:27,5:51,6:15,,6:39,7:03,7:27,,7:51,8:15,8:39,,9:03,9:27,9:51,,10:15,10:39,11:03,,11:27,11:51,12:15,,12:39,13:03,13:27,,13:51,14:15,14:39,,15:03,15:27,15:51,,16:15,16:39,17:03,,17:27,17:51,18:15,,18:39,19:03,19:27,,19:51,20:15,20:39,,21:03,21:27,21:51,,22:15,22:39,23:03,,23:27,23:51,0:15,0:41,1:05
prusz,4:41,5:05,,5:29,5:53,6:17,,6:41,7:05,7:29,,7:53,8:17,8:41,,9:05,9:29,9:53,,10:17,10:41,11:05,,11:29,11:53,12:17,,12:41,13:05,13:29,,13:53,14:17,14:41,,15:05,15:29,15:53,,16:17,16:41,17:05,,17:29,17:53,18:17,,18:41,19:05,19:29,,19:53,20:17,20:41,,21:05,21:29,21:53,,22:17,22:41,23:05,,23:29,23:53,0:17,0:43,1:07
twork,4:43,5:07,,5:31,5:55,6:19,,6:43,7:07,7:31,,7:55,8:19,8:43,,9:07,9:31,9:55,,10:19,10:43,11:07,,11:31,11:55,12:19,,12:43,13:07,13:31,,13:55,14:19,14:43,,15:07,15:31,15:55,,16:19,16:43,17:07,,17:31,17:55,18:19,,18:43,19:07,19:31,,19:55,20:19,20:43,,21:07,21:31,21:55,,22:19,22:43,23:07,,23:31,23:55,0:19,0:45,1:09
malic,4:45,5:09,,5:33,5:57,6:21,,6:45,7:09,7:33,,7:57,8:21,8:45,,9:09,9:33,9:57,,10:21,10:45,11:09,,11:33,11:57,12:21,,12:45,13:09,13:33,,13:57,14:21,14:45,,15:09,15:33,15:57,,16:21,16:45,17:09,,17:33,17:57,18:21,,18:45,19:09,19:33,,19:57,20:21,20:45,,21:09,21:33,21:57,,22:21,22:45,23:09,,23:33,23:57,0:21,0:47,1:11
regul,4:47,5:11,,5:35,5:59,6:23,,6:47,7:11,7:35,,7:59,8:23,8:47,,9:11,9:35,9:59,,10:23,10:47,11:11,,11:35,11:59,12:23,,12:47,13:11,13:35,,13:59,14:23,14:47,,15:11,15:35,15:59,,16:23,16:47,17:11,,17:35,17:59,18:23,,18:47,19:11,19:35,,19:59,20:23,20:47,,21:11,21:35,21:59,,22:23,22:47,23:11,,23:35,23:59,0:23,0:49,1:13
micha,4:49,5:13,,5:37,6:01,6:25,,6:49,7:13,7:37,,8:01,8:25,8:49,,9:13,9:37,10:01,,10:25,10:49,11:13,,11:37,12:01,12:25,,12:49,13:13,13:37,,14:01,14:25,14:49,,15:13,15:37,16:01,,16:25,16:49,17:13,,17:37,18:01,18:25,,18:49,19:13,19:37,,20:01,20:25,20:49,,21:13,21:37,22:01,,22:25,22:49,23:13,,23:37,0:01,0:25,0:51,1:15
opacz,4:52,5:16,,5:40,6:04,6:28,,6:52,7:16,7:40,,8:04,8:28,8:52,,9:16,9:40,10:04,,10:28,10:52,11:16,,11:40,12:04,12:28,,12:52,13:16,13:40,,14:04,14:28,14:52,,15:16,15:40,16:04,,16:28,16:52,17:16,,17:40,18:04,18:28,,18:52,19:16,19:40,,20:04,20:28,20:52,,21:16,21:40,22:04,,22:28,22:52,23:16,,23:40,0:04,0:28,0:54,1:18
wsalo,4:54,5:18,,5:42,6:06,6:30,,6:54,7:18,7:42,,8:06,8:30,8:54,,9:18,9:42,10:06,,10:30,10:54,11:18,,11:42,12:06,12:30,,12:54,13:18,13:42,,14:06,14:30,14:54,,15:18,15:42,16:06,,16:30,16:54,17:18,,17:42,18:06,18:30,,18:54,19:18,19:42,,20:06,20:30,20:54,,21:18,21:42,22:06,,22:30,22:54,23:18,,23:42,0:06,0:30,0:56,1:20
wrako,4:56,5:20,,5:44,6:08,6:32,,6:56,7:20,7:44,,8:08,8:32,8:56,,9:20,9:44,10:08,,10:32,10:56,11:20,,11:44,12:08,12:32,,12:56,13:20,13:44,,14:08,14:32,14:56,,15:20,15:44,16:08,,16:32,16:56,17:20,,17:44,18:08,18:32,,18:56,19:20,19:44,,20:08,20:32,20:56,,21:20,21:44,22:08,,22:32,22:56,23:20,,23:44,0:08,0:32,0:58,1:22
walje,4:59,5:23,,5:47,6:11,6:35,,6:59,7:23,7:47,,8:11,8:35,8:59,,9:23,9:47,10:11,,10:35,10:59,11:23,,11:47,12:11,12:35,,12:59,13:23,13:47,,14:11,14:35,14:59,,15:23,15:47,16:11,,16:35,16:59,17:23,,17:47,18:11,18:35,,18:59,19:23,19:47,,20:11,20:35,20:59,,21:23,21:47,22:11,,22:35,22:59,23:23,,23:47,0:11,0:35,1:01,1:25
wreor,5:01,5:25,,5:49,6:13,6:37,,7:01,7:25,7:49,,8:13,8:37,9:01,,9:25,9:49,10:13,,10:37,11:01,11:25,,11:49,12:13,12:37,,13:01,13:25,13:49,,14:13,14:37,15:01,,15:25,15:49,16:13,,16:37,17:01,17:25,,17:49,18:13,18:37,,19:01,19:25,19:49,,20:13,20:37,21:01,,21:25,21:49,22:13,,22:37,23:01,23:25,,23:49,0:13,0:37,1:03,1:27
,5:03,5:27,,5:51,6:15,6:39,,7:03,7:27,7:51,,8:15,8:39,9:03,,9:27,9:51,10:15,,10:39,11:03,11:27,,11:51,12:15,12:39,,13:03,13:27,13:51,,14:15,14:39,15:03,,15:27,15:51,16:15,,16:39,17:03,17:27,,17:51,18:15,18:39,,19:03,19:27,19:51,,20:15,20:39,21:03,,21:27,21:51,22:15,,22:39,23:03,23:27,,23:51,0:15,0:39,1:05,1:29
wzach,5:05,5:29,,5:53,6:17,6:41,,7:05,7:29,7:53,,8:17,8:41,9:05,,9:29,9:53,10:17,,10:41,11:05,11:29,,11:53,12:17,12:41,,13:05,13:29,13:53,,14:17,14:41,15:05,,15:29,15:53,16:17,,16:41,17:05,17:29,,17:53,18:17,18:41,,19:05,19:29,19:53,,20:17,20:41,21:05,,21:29,21:53,22:17,,22:41,23:05,23:29,,23:53,0:17,0:41,1:07,1:31
wocho,5:08,5:32,,5:56,6:20,6:44,,7:08,7:32,7:56,,8:20,8:44,9:08,,9:32,9:56,10:20,,10:44,11:08,11:32,,11:56,12:20,12:44,,13:08,13:32,13:56,,14:20,14:44,15:08,,15:32,15:56,16:20,,16:44,17:08,17:32,,17:56,18:20,18:44,,19:08,19:32,19:56,,20:20,20:44,21:08,,21:32,21:56,22:20,,22:44,23:08,23:32,,23:56,0:20,0:44,1:10,1:34
wsrod,5:10,5:34,,5:58,6:22,6:46,,7:10,7:34,7:58,,8:22,8:46,9:10,,9:34,9:58,10:22,,10:46,11:10,11:34,,11:58,12:22,12:46,,13:10,13:34,13:58,,14:22,14:46,15:10,,15:34,15:58,16:22,,16:46,17:10,17:34,,17:58,18:22,18:46,,19:10,19:34,19:58,,20:22,20:46,21:10,,21:34,21:58,22:22,,22:46,23:10,23:34,,23:58,0:22,0:46,1:12,1:36
