,100,2200,102,104,2202,200,106,108,202,110,112,114,204,116,118,120,206,122,124,126,208,128,130,210,132,134,212,136,138,214,140,142,216,144,146,218,148,150,220,152,154,156,222,158,160,162,224,164,166,168,226,170,172,174,228,176,178,180,230,182,184,232,186,188,234,190,236,192,2204
,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A12
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
gmrad,3:40,4:00,4:10,4:30,4:40,,5:10,5:28,,5:58,6:13,6:28,,6:58,7:13,7:28,,7:58,8:13,8:33,,9:08,9:28,,10:08,10:28,,11:08,11:28,,12:08,12:28,,13:08,13:28,,14:08,14:28,,14:58,15:13,15:28,,15:58,16:13,16:28,,16:58,17:13,17:28,,17:58,18:13,18:28,,18:58,19:13,19:33,,20:13,20:33,,21:13,21:33,,22:33,,23:38,
gmjor,3:42,4:02,4:12,4:32,4:42,,5:12,5:30,,6:00,6:15,6:30,,7:00,7:15,7:30,,8:00,8:15,8:35,,9:10,9:30,,10:10,10:30,,11:10,11:30,,12:10,12:30,,13:10,13:30,,14:10,14:30,,15:00,15:15,15:30,,16:00,16:15,16:30,,17:00,17:15,17:30,,18:00,18:15,18:30,,19:00,19:15,19:35,,20:15,20:35,,21:15,21:35,,22:35,,23:40,
gmpia,3:44,4:04,4:14,4:34,4:44,,5:14,5:32,,6:02,6:17,6:32,,7:02,7:17,7:32,,8:02,8:17,8:37,,9:12,9:32,,10:12,10:32,,11:12,11:32,,12:12,12:32,,13:12,13:32,,14:12,14:32,,15:02,15:17,15:32,,16:02,16:17,16:32,,17:02,17:17,17:32,,18:02,18:17,18:32,,19:02,19:17,19:37,,20:17,20:37,,21:17,21:37,,22:37,,23:42,
gmokr,3:45,4:05,4:15,4:35,4:45,,5:15,5:33,,6:03,6:18,6:33,,7:03,7:18,7:33,,8:03,8:18,8:38,,9:13,9:33,,10:13,10:33,,11:13,11:33,,12:13,12:33,,13:13,13:33,,14:13,14:33,,15:03,15:18,15:33,,16:03,16:18,16:33,,17:03,17:18,17:33,,18:03,18:18,18:33,,19:03,19:18,19:38,,20:18,20:38,,21:18,21:38,,22:38,,23:43,
brzoz,3:47,4:07,4:17,4:37,4:47,,5:17,5:35,,6:05,6:20,6:35,,7:05,7:20,7:35,,8:05,8:20,8:40,,9:15,9:35,,10:15,10:35,,11:15,11:35,,12:15,12:35,,13:15,13:35,,14:15,14:35,,15:05,15:20,15:35,,16:05,16:20,16:35,,17:05,17:20,17:35,,18:05,18:20,18:35,,19:05,19:20,19:40,,20:20,20:40,,21:20,21:40,,22:40,,23:45,
kazim,3:49,4:09,4:19,4:39,4:49,,5:19,5:37,,6:07,6:22,6:37,,7:07,7:22,7:37,,8:07,8:22,8:42,,9:17,9:37,,10:17,10:37,,11:17,11:37,,12:17,12:37,,13:17,13:37,,14:17,14:37,,15:07,15:22,15:37,,16:07,16:22,16:37,,17:07,17:22,17:37,,18:07,18:22,18:37,,19:07,19:22,19:42,,20:22,20:42,,21:22,21:42,,22:42,,23:47,
milgr,,,,,,4:56,,,5:49,,,,6:49,,,,7:49,,,,8:59,,,9:54,,,10:54,,,11:54,,,12:54,,,13:54,,,14:49,,,,15:49,,,,16:49,,,,17:49,,,,18:49,,,,19:59,,,20:54,,,22:09,,23:09,,23:54
poles,,,,,,4:59,,,5:52,,,,6:52,,,,7:52,,,,9:02,,,9:57,,,10:57,,,11:57,,,12:57,,,13:57,,,14:52,,,,15:52,,,,16:52,,,,17:52,,,,18:52,,,,20:02,,,20:57,,,22:12,,23:12,,23:57
plzac,3:51,4:11,4:21,4:41,4:51,5:01,5:21,5:39,5:54,6:09,6:24,6:39,6:54,7:09,7:24,7:39,7:54,8:09,8:24,8:44,9:04,9:19,9:39,9:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,12:59,13:19,13:39,13:59,14:19,14:39,14:54,15:09,15:24,15:39,15:54,16:09,16:24,16:39,16:54,17:09,17:24,17:39,17:54,18:09,18:24,18:39,18:54,19:09,19:24,19:44,20:04,20:24,20:44,20:59,21:24,21:44,22:14,22:44,23:14,23:49,23:59
plglo,3:53,4:13,4:23,4:43,4:53,5:03,5:23,5:41,5:56,6:11,6:26,6:41,6:56,7:11,7:26,7:41,7:56,8:11,8:26,8:46,9:06,9:21,9:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,14:56,15:11,15:26,15:41,15:56,16:11,16:26,16:41,16:56,17:11,17:26,17:41,17:56,18:11,18:26,18:41,18:56,19:11,19:26,19:46,20:06,20:26,20:46,21:01,21:26,21:46,22:16,22:46,23:16,23:51,0:01
,3:54,,4:24,4:44,,5:04,5:24,5:42,5:57,6:12,6:27,6:42,6:57,7:12,7:27,7:42,7:57,8:12,8:27,8:47,9:07,9:22,9:42,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,14:57,15:12,15:27,15:42,15:57,16:12,16:27,16:42,16:57,17:12,17:27,17:42,17:57,18:12,18:27,18:42,18:57,19:12,19:27,19:47,20:07,20:27,20:47,21:02,21:27,21:47,22:17,22:47,23:17,23:52,
plwsc,3:56,,4:26,4:46,,5:06,5:26,5:44,5:59,6:14,6:29,6:44,6:59,7:14,7:29,7:44,7:59,8:14,8:29,8:49,9:09,9:24,9:44,10:04,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44,13:04,13:24,13:44,14:04,14:24,14:44,14:59,15:14,15:29,15:44,15:59,16:14,16:29,16:44,16:59,17:14,17:29,17:44,17:59,18:14,18:29,18:44,18:59,19:14,19:29,19:49,20:09,20:29,20:49,21:04,21:29,21:49,22:19,22:49,23:19,23:54,
otreb,3:58,,4:28,4:48,,5:08,5:28,5:46,6:01,6:16,6:31,6:46,7:01,7:16,7:31,7:46,8:01,8:16,8:31,8:51,9:11,9:26,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:01,15:16,15:31,15:46,16:01,16:16,16:31,16:46,17:01,17:16,17:31,17:46,18:01,18:16,18:31,18:46,19:01,19:16,19:31,19:51,20:11,20:31,20:51,21:06,21:31,21:51,22:21,22:51,23:21,23:56,
kanie,4:00,,4:30,4:50,,5:10,5:30,5:48,6:03,6:18,6:33,6:48,7:03,7:18,7:33,7:48,8:03,8:18,8:33,8:53,9:13,9:28,9:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:03,15:18,15:33,15:48,16:03,16:18,16:33,16:48,17:03,17:18,17:33,17:48,18:03,18:18,18:33,18:48,19:03,19:18,19:33,19:53,20:13,20:33,20:53,21:08,21:33,21:53,22:23,22:53,23:23,23:58,
nwwar,4:02,,4:32,4:52,,5:12,5:32,5:50,6:05,6:20,6:35,6:50,7:05,7:20,7:35,7:50,8:05,8:20,8:35,8:55,9:15,9:30,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:05,15:20,15:35,15:50,16:05,16:20,16:35,16:50,17:05,17:20,17:35,17:50,18:05,18:20,18:35,18:50,19:05,19:20,19:35,19:55,20:15,20:35,20:55,21:10,21:35,21:55,22:25,22:55,23:25,0:00,
komor,4:05,,4:35,4:55,,5:15,5:35,5:53,6:08,6:23,6:38,6:53,7:08,7:23,7:38,7:53,8:08,8:23,8:38,8:58,9:18,9:33,9:53,10:13,10:33,10:53,11:13,11:33,11:53,12:13,12:33,12:53,13:13,13:33,13:53,14:13,14:33,14:53,15:08,15:23,15:38,15:53,16:08,16:23,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:38,18:53,19:08,19:23,19:38,19:58,20:18,20:38,20:58,21:13,21:38,21:58,22:28,22:58,23:28,0:03,
,4:07,,4:37,4:57,,5:17,5:37,5:55,6:10,6:25,6:40,6:55,7:10,7:25,7:40,7:55,8:10,8:25,8:40,9:00,9:20,9:35,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:10,15:25,15:40,15:55,16:10,16:25,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:25,18:40,18:55,19:10,19:25,19:40,20:00,20:20,20:40,21:00,21:15,21:40,22:00,22:30,23:00,23:30,0:05,
prusz,4:09,,4:39,4:59,,5:19,5:39,5:57,6:12,6:27,6:42,6:57,7:12,7:27,7:42,7:57,8:12,8:27,8:42,9:02,9:22,9:37,9:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:12,15:27,15:42,15:57,16:12,16:27,16:42,16:57,17:12,17:27,17:42,17:57,18:12,18:27,18:42,18:57,19:12,19:27,19:42,20:02,20:22,20:42,21:02,21:17,21:42,22:02,22:32,23:02,23:32,0:07,
twork,4:11,,4:41,5:01,,5:21,5:41,5:59,6:14,6:29,6:44,6:59,7:14,7:29,7:44,7:59,8:14,8:29,8:44,9:04,9:24,9:39,9:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,12:59,13:19,13:39,13:59,14:19,14:39,14:59,15:14,15:29,15:44,15:59,16:14,16:29,16:44,16:59,17:14,17:29,17:44,17:59,18:14,18:29,18:44,18:59,19:14,19:29,19:44,20:04,20:24,20:44,21:04,21:19,21:44,22:04,22:34,23:04,23:34,0:09,
malic,4:13,,4:43,5:03,,5:23,5:43,6:01,6:16,6:31,6:46,7:01,7:16,7:31,7:46,8:01,8:16,8:31,8:46,9:06,9:26,9:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:16,15:31,15:46,16:01,16:16,16:31,16:46,17:01,17:16,17:31,17:46,18:01,18:16,18:31,18:46,19:01,19:16,19:31,19:46,20:06,20:26,20:46,21:06,21:21,21:46,22:06,22:36,23:06,23:36,0:11,
regul,4:15,,4:45,5:05,,5:25,5:45,6:03,6:18,6:33,6:48,7:03,7:18,7:33,7:48,8:03,8:18,8:33,8:48,9:08,9:28,9:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:18,15:33,15:48,16:03,16:18,16:33,16:48,17:03,17:18,17:33,17:48,18:03,18:18,18:33,18:48,19:03,19:18,19:33,19:48,20:08,20:28,20:48,21:08,21:23,21:48,22:08,22:38,23:08,23:38,0:13,
micha,4:18,,4:48,5:08,,5:28,5:48,6:06,6:21,6:36,6:51,7:06,7:21,7:36,7:51,8:06,8:21,8:36,8:51,9:11,9:31,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:21,15:36,15:51,16:06,16:21,16:36,16:51,17:06,17:21,17:36,17:51,18:06,18:21,18:36,18:51,19:06,19:21,19:36,19:51,20:11,20:31,20:51,21:11,21:26,21:51,22:11,22:41,23:11,23:41,0:16,
opacz,4:20,,4:50,5:10,,5:30,5:50,6:08,6:23,6:38,6:53,7:08,7:23,7:38,7:53,8:08,8:23,8:38,8:53,9:13,9:33,9:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:23,15:38,15:53,16:08,16:23,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:38,18:53,19:08,19:23,19:38,19:53,20:13,20:33,20:53,21:13,21:28,21:53,22:13,22:43,23:13,23:43,0:18,
wsalo,4:22,,4:52,5:12,,5:32,5:52,6:10,6:25,6:40,6:55,7:10,7:25,7:40,7:55,8:10,8:25,8:40,8:55,9:15,9:35,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:25,15:40,15:55,16:10,16:25,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:25,18:40,18:55,19:10,19:25,19:40,19:55,20:15,20:35,20:55,21:15,21:30,21:55,22:15,22:45,23:15,23:45,0:20,
wrako,4:24,,4:54,5:14,,5:34,5:54,6:12,6:27,6:42,6:57,7:12,7:27,7:42,7:57,8:12,8:27,8:42,8:57,9:17,9:37,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:27,15:42,15:57,16:12,16:27,16:42,16:57,17:12,17:27,17:42,17:57,18:12,18:27,18:42,18:57,19:12,19:27,19:42,19:57,20:17,20:37,20:57,21:17,21:32,21:57,22:17,22:47,23:17,23:47,0:22,
walje,4:27,,4:57,5:17,,5:37,5:57,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:20,9:40,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:20,20:40,21:00,21:20,21:35,22:00,22:20,22:50,23:20,23:50,0:25,
wreor,4:30,,5:00,5:20,,5:40,6:00,6:18,6:33,6:48,7:03,7:18,7:33,7:48,8:03,8:18,8:33,8:48,9:03,9:23,9:43,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:33,15:48,16:03,16:18,16:33,16:48,17:03,17:18,17:33,17:48,18:03,18:18,18:33,18:48,19:03,19:18,19:33,19:48,20:03,20:23,20:43,21:03,21:23,21:38,22:03,22:23,22:53,23:23,23:53,0:28,
wzach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wocho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wsrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
